Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
SZUA-1178	331.637678094161	439.368131695723	27.4824989706452	258.991954683977	321.185030662358	178.944556626496	128.080457870416	43.589357339557	368.448367575434	30.9284545968998	26.8264014907557	3.2456294192357
SZUA-1180	12567.9360318423	5643.23304803543	95801.5687831905	8856.1636638948	15703.3260050444	67997.7029665144	16986.6316149404	28630.7723636164	2368.21968128703	80877.3735018438	66260.1412458403	93449.5467980277
SZUA-1181	607.814910464984	297.636483148121	34.2412226893732	628.751474935684	362.226662004702	112.181329230977	253.641434235365	111.14355759027	189.33518076469	80.3415374328805	77.7267969282661	13.520428415348
SZUA-1182	112.124152718509	57.8802622083136	158.95580006147	194.629244544403	162.474343726158	216.073935042998	109.018425465481	122.952758298485	39.0860864773284	215.101410795979	162.568150530804	234.775836367568
SZUA-1183	2470.08911025674	2248.64225082958	231.517337338048	2040.05321035647	776.407221399767	354.85725510451	328.545035504858	89.9079847534296	1639.78397463244	74.2817515959693	74.8165727400143	13.0994375250996
SZUA-1184	270.016272427241	162.178276129106	122.692316938655	607.803805645588	754.693636397005	325.978536085143	322.532877890193	121.850046333159	313.62024902845	81.1485068117368	54.8976274320642	28.6963051529647
SZUA-1185	1798.61493091553	1655.89696797255	146.73059336923	1334.0765830659	919.113569155267	1682.85352344558	1811.85308318436	543.421562394553	1162.48270920232	305.937535375512	165.342172137186	35.5007356004209
SZUA-1186	82.1833938377627	44.3850384849688	37.5243355694219	258.844729854092	315.178051575585	56.1244068489339	94.8166655459257	55.0535642107299	68.9938438577694	48.1878315888915	16.7015860373066	20.6322929360947
SZUA-1189	2333.81072296197	2202.10291821526	207.892235811255	1696.42883982946	1294.75660065184	1695.56546169362	1479.92352715454	458.563901602386	1665.78021288609	258.493645255021	220.817768335696	34.8209838921541
SZUA-1190	575.834987777291	796.517069677358	42.5251855129469	425.794448527767	291.686077843995	127.884577318042	71.5000040937664	33.6580514695926	741.208193447333	29.3270800204469	38.1850102910066	3.33787421959033
