Head	B.Cym.mean	P.Cym.mean	P.GyBn.mean	B.Lau.mean	P.Lau.mean
SZUA-1314	1.329587436	0.986356309	11.86583976	12.90884702	24.5269499
SZUA-1315	48.18737051	65.08205429	14.58169468	94.04741131	167.6474432
SZUA-1316	37.10383019	35.00713327	0.677244422	9.094300621	10.70649198
SZUA-1318	8.338826623	6.6164965	3.730443528	22.06804433	30.23230548
SZUA-1319	25.31860348	16.65700294	24.46899881	27.79440017	41.8932483
SZUA-1322	0.387473083	0.281343955	2.328859086	32.33373237	79.88912809
SZUA-1323	9.055637703	7.687236709	2.140177852	28.95446493	59.45854884
SZUA-1325	2.075498306	3.149977699	0.240930068	10.98472923	16.11509956
SZUA-1326	6.006980325	5.537778173	2.234426992	16.16731516	40.71511508
SZUA-1327	0.000449739	0.001058563	0.000530502	1.407389925	12.2625464
SZUA-1329	13.86039596	8.899801119	9.671107694	12.42816674	22.75036918
SZUA-1331	6.870199444	4.902604498	0.750372856	37.84137152	24.62278707
SZUA-1332	24.00963506	27.23579243	3.237025611	29.80939522	46.68611787
SZUA-1335	50.54096814	69.41973814	40.95367771	270.3227746	418.7120801
SZUA-1337	5.875667143	7.512866438	5.466654022	16.41062217	28.17757629
SZUA-1338	0.107818863	0.113157113	1.973189082	28.94231756	20.02034596
SZUA-1346	35.41766735	38.66164245	1.930148663	27.67419391	41.10438356
SZUA-1347	3.195368938	2.905655238	4.488363626	31.49422198	26.65463148
SZUA-1356	16.31908629	12.0253227	3.294300187	51.31820216	38.06530963
SZUA-1361	9.134214296	8.125630757	0.905582203	41.05330655	18.97538385
SZUA-1363	114.3530419	127.4032143	2.328074732	55.76297515	180.1557084
